Year,Value,Gender,الجنس
"2009","1369740","Male","ذكور"
"2009","401238","Female","إناث"
"2010","1485046","Male","ذكور"
"2010","420428","Female","إناث"
"2011","1537910","Male","ذكور"
"2011","494520","Female","إناث"
"2012","1592660","Male","ذكور"
"2012","575180","Female","إناث"
"2013","1649355","Male","ذكور"
"2013","662920","Female","إناث"
"2014","1709510","Male","ذكور"
"2014","756825","Female","إناث"
"2015","1831440","Male","ذكور"
"2015","799215","Female","إناث"
"2016","1963630","Male","ذكور"
"2016","842295","Female","إناث"
"2017","2100390","Male","ذكور"
"2017","892480","Female","إناث"
"2018","2233390","Male","ذكور"
"2018","958885","Female","إناث"
"2019","2331800","Male","ذكور"
"2019","1024100","Female","إناث"
"2020","2362255","Male","ذكور"
"2020","1048945","Female","إناث"
"2021","2400100","Male","ذكور"
"2021","1078200","Female","إناث"
"2022","2554300","Male","ذكور"
"2022","1163700","Female","إناث"
"2023","2726200","Male","ذكور"
"2023","1248100","Female","إناث"
"2024","2911500","Male","ذكور"
"2024","1336700","Female","إناث"
